n_jobs,time
1,1.406169
2,1.140199
3,1.114529
4,1.030102
5,0.987251
6,1.002112
7,0.98701
8,1.050076
9,0.987506
10,1.010226
11,0.988969
12,0.993392
13,0.991656
14,0.989034
15,1.001277
16,1.018478
